NOC,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
EST,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,2.0,4.0
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,3.0,3.0,8.0,7.0,7.0,7.0,8.0
EUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
FIJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
FIN,0.0,0.0,0.0,4.0,30.0,71.0,52.0,52.0,25.0,29.0,27.0,33.0,40.0,26.0,6.0,5.0,4.0,10.0,6.0,9.0,12.0,4.0,7.0,4.0,5.0,2.0,5.0,5.0,1.0
FRA,11.0,235.0,2.0,64.0,40.0,26.0,141.0,110.0,50.0,40.0,44.0,72.0,40.0,33.0,12.0,31.0,27.0,22.0,20.0,29.0,67.0,29.0,57.0,51.0,66.0,53.0,77.0,82.0,96.0
FRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,102.0,78.0,0.0,158.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GBR,9.0,108.0,2.0,39.0,368.0,170.0,111.0,64.0,58.0,35.0,36.0,61.0,31.0,46.0,28.0,28.0,19.0,29.0,32.0,47.0,71.0,54.0,50.0,26.0,54.0,57.0,81.0,126.0,145.0
GDR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,151.0,195.0,264.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,6.0,7.0,7.0
GER,32.0,45.0,16.0,30.0,21.0,53.0,0.0,0.0,77.0,43.0,224.0,0.0,40.0,52.0,89.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,124.0,118.0,149.0,99.0,94.0,159.0
GHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GRE,48.0,0.0,2.0,102.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,2.0,8.0,18.0,31.0,7.0,3.0,7.0
GRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GUA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
HUN,6.0,5.0,4.0,13.0,20.0,30.0,0.0,22.0,21.0,33.0,41.0,62.0,102.0,64.0,66.0,56.0,81.0,81.0,55.0,61.0,0.0,44.0,45.0,43.0,53.0,40.0,27.0,26.0,22.0
INA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,8.0,5.0,7.0,2.0,4.0
IND,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,19.0,20.0,15.0,17.0,13.0,15.0,16.0,14.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,6.0,2.0
IOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
IRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,4.0,2.0,5.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,6.0,2.0,12.0,8.0
IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,0.0,3.0,5.0,3.0
IRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0
ISR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0
ISV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,0.0,5.0,0.0,56.0,8.0,25.0,84.0,51.0,72.0,77.0,76.0,67.0,54.0,47.0,88.0,51.0,33.0,25.0,31.0,37.0,63.0,29.0,45.0,71.0,65.0,104.0,42.0,68.0,72.0
JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,7.0,7.0,4.0,16.0,23.0,13.0,14.0,25.0,30.0
JOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JPN,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,31.0,23.0,0.0,12.0,24.0,31.0,62.0,63.0,56.0,41.0,0.0,49.0,20.0,47.0,42.0,44.0,93.0,51.0,84.0,64.0
KAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,8.0,13.0,13.0,18.0
KEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,3.0,9.0,8.0,8.0,7.0,7.0,15.0,11.0,13.0
